#Measurement:		CV
#Sensor type:		HPK_8in_198ch_2019
#Needle measurement:	0
#Identifier:		100113_20220701
#Timestamp:		1.7.2022 10:54 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		1000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::24::INSTR
#VISA DMM:		GPIB0::14::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot analysis cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV_analysis.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-199--invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot on matrix cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\geo\switch_matrix.txt" -m "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\maps\Probe_card_HPK_8in_198ch_2019.txt"  --colorpalette 1
#Voltage file:		C:\Users\probe-station\Desktop\Voltage_Files\CV_300um_1to400.txt
#CV correction file:		None
#Comments:		

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time  	#Temp	#Hum.	#Cp        	#Error      	#Impedance 	#Error     	#Phase      	#Error      	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]   	#[C] 	#[%] 	#[pF]      	#[pF]       	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]      	#[pF]      	#[pF]      
-100.0  	185     	2.455008E+2	2.878294E-2	-8.55E+1   	-100.00   	996.52 	23.5 	16.4 	2.138817E+2	7.017217E-4 	3.472777E+5	4.186088E+1	-1.203730E+0	1.000000E-5 	2.455008E+2	2.138817E+2
-100.0  	186     	2.436873E+2	2.754572E-2	-8.55E+1   	-100.00   	997.86 	23.5 	16.4 	2.118088E+2	4.450513E-4 	3.502690E+5	3.724245E+1	-1.200720E+0	1.732051E-5 	2.436873E+2	2.118088E+2
-100.0  	187     	2.459001E+2	3.651353E-2	-8.55E+1   	-100.00   	999.16 	23.5 	16.4 	2.143591E+2	7.335150E-4 	3.466090E+5	4.763402E+1	-1.204517E+0	2.886751E-5 	2.459001E+2	2.143591E+2
-100.0  	188     	2.417795E+2	3.013593E-2	-8.55E+1   	-100.00   	1000.38	23.5 	16.4 	2.096477E+2	5.874249E-4 	3.534560E+5	4.246175E+1	-1.197647E+0	1.154701E-5 	2.417795E+2	2.096477E+2
-100.0  	189     	2.308518E+2	2.066142E-2	-8.55E+1   	-100.00   	1001.73	23.5 	16.4 	1.968438E+2	3.604226E-4 	3.733040E+5	3.469870E+1	-1.176870E+0	1.000000E-5 	2.308518E+2	1.968438E+2
-100.0  	190     	2.165792E+2	3.169978E-2	-8.55E+1   	-100.00   	1003.02	23.5 	16.4 	1.795597E+2	7.134412E-4 	4.035313E+5	5.954270E+1	-1.144573E+0	5.773503E-6 	2.165792E+2	1.795597E+2
-100.0  	191     	2.486762E+2	5.429749E-4	-9.01E+1   	-100.00   	1004.24	23.5 	16.4 	2.175600E+2	2.256566E-7 	3.421240E+5	0.000000E+0	-1.209237E+0	5.773503E-6 	2.486762E+2	2.175600E+2
-100.0  	192     	2.449321E+2	2.541490E-2	-9.01E+1   	-100.00   	1006.68	23.5 	16.4 	2.132796E+2	3.720010E-4 	3.481710E+5	3.380828E+1	-1.203080E+0	1.732051E-5 	2.449321E+2	2.132796E+2
-100.0  	193     	2.482227E+2	1.943334E-2	-9.01E+1   	-100.00   	1008.10	23.5 	16.4 	2.170312E+2	3.630056E-4 	3.428533E+5	2.844878E+1	-1.208433E+0	1.527525E-5 	2.482227E+2	2.170312E+2
-100.0  	194     	2.481175E+2	2.423045E-2	-9.01E+1   	-100.00   	1009.45	23.5 	16.4 	2.168991E+2	4.486666E-4 	3.430303E+5	3.350124E+1	-1.208190E+0	0.000000E+0 	2.481175E+2	2.168991E+2
-100.0  	195     	2.440526E+2	2.730796E-2	-9.01E+1   	-100.00   	1010.74	23.5 	16.4 	2.122409E+2	3.611822E-4 	3.496503E+5	3.521837E+1	-1.201417E+0	2.886751E-5 	2.440526E+2	2.122409E+2
-100.0  	196     	2.442699E+2	2.152254E-2	-9.01E+1   	-100.00   	1012.16	23.5 	16.4 	2.124825E+2	3.315081E-4 	3.492960E+5	3.034798E+1	-1.201737E+0	5.773503E-6 	2.442699E+2	2.124825E+2
-100.0  	197     	2.441389E+2	2.765089E-2	-9.01E+1   	-100.00   	1013.51	23.5 	16.4 	2.122573E+2	4.500713E-4 	3.495750E+5	3.724245E+1	-1.201060E+0	2.000000E-5 	2.441389E+2	2.122573E+2
-100.0  	198     	2.166714E+2	2.909477E-2	-9.01E+1   	-100.00   	1014.82	23.5 	16.4 	1.794952E+2	3.934723E-4 	4.035180E+5	4.938623E+1	-1.143710E+0	2.645751E-5 	2.166714E+2	1.794952E+2
-100.0  	199     	3.783651E+2	2.321876E-2	-9.01E+1   	-100.00   	1016.22	23.5 	16.4 	3.427067E+2	3.417180E-4 	2.209903E+5	1.274101E+1	-1.258767E+0	1.154701E-5 	3.783651E+2	3.427067E+2
-100.0  	200     	1.870978E+2	3.225169E-2	-9.01E+1   	-100.00   	1017.54	23.5 	16.4 	1.406781E+2	4.601500E-4 	4.905040E+5	7.968061E+1	-1.049390E+0	1.732051E-5 	1.870978E+2	1.406781E+2
-100.0  	201     	1.866790E+2	2.300817E-3	-9.25E+1   	-100.00   	1018.90	23.5 	16.4 	1.400431E+2	2.197684E-7 	4.921660E+5	3.000000E+0	-1.047407E+0	1.154701E-5 	1.866790E+2	1.400431E+2
-100.0  	202     	2.025391E+2	3.451674E-2	-9.25E+1   	-100.00   	1021.37	23.5 	16.4 	1.620309E+2	7.360042E-4 	4.392753E+5	7.420467E+1	-1.107147E+0	5.773503E-6 	2.025391E+2	1.620309E+2
-100.0  	203     	2.121467E+2	3.320251E-2	-9.25E+1   	-100.00   	1022.73	23.5 	16.4 	1.743626E+2	5.326590E-4 	4.137570E+5	5.975784E+1	-1.135120E+0	2.645751E-5 	2.121467E+2	1.743626E+2
-100.0  	204     	2.285744E+2	2.905149E-2	-9.25E+1   	-100.00   	1024.14	23.5 	16.4 	1.944502E+2	3.640926E-4 	3.774610E+5	4.250882E+1	-1.174090E+0	3.464102E-5 	2.285744E+2	1.944502E+2
-100.0  	205     	2.375854E+2	2.232131E-2	-9.25E+1   	-100.00   	1025.44	23.5 	16.4 	2.050751E+2	3.201298E-4 	3.605153E+5	3.265476E+1	-1.191880E+0	1.000000E-5 	2.375854E+2	2.050751E+2
-100.0  	206     	2.629884E+2	2.270879E-2	-9.25E+1   	-100.00   	1026.81	23.5 	16.4 	2.340733E+2	4.273350E-4 	3.207347E+5	2.800595E+1	-1.232813E+0	5.773503E-6 	2.629884E+2	2.340733E+2
-100.0  	207     	3.766388E+2	1.400052E-2	-9.25E+1   	-100.00   	1028.13	23.5 	16.4 	3.556698E+2	2.021079E-4 	2.174223E+5	8.386497E+0	-1.332597E+0	5.773503E-6 	3.766388E+2	3.556698E+2
-150.0  	1       	2.033060E+2	1.042006E-2	-1.23E+2   	-149.99   	1066.98	23.5 	16.4 	1.617140E+2	3.423727E-6 	4.388753E+5	1.365040E+1	-1.101450E+0	4.000000E-5 	2.033060E+2	1.617140E+2
-150.0  	2       	2.080012E+2	8.749217E-3	-1.20E+2   	-149.99   	1069.32	23.5 	16.4 	1.676942E+2	3.162163E-6 	4.260870E+5	1.081665E+1	-1.114967E+0	3.511885E-5 	2.080012E+2	1.676942E+2
-150.0  	3       	2.078482E+2	8.691509E-3	-1.15E+2   	-149.99   	1071.75	23.5 	16.4 	1.676442E+2	2.224129E-6 	4.263073E+5	1.059874E+1	-1.115413E+0	3.511885E-5 	2.078482E+2	1.676442E+2
-150.0  	4       	2.066831E+2	8.143412E-3	-1.19E+2   	-149.99   	1074.12	23.5 	16.4 	1.663184E+2	2.724771E-6 	4.292077E+5	1.050397E+1	-1.113053E+0	3.055050E-5 	2.066831E+2	1.663184E+2
-150.0  	5       	2.057312E+2	5.732368E-3	-1.13E+2   	-149.99   	1076.63	23.5 	16.4 	1.651308E+2	2.924637E-7 	4.317437E+5	6.658328E+0	-1.110473E+0	2.516611E-5 	2.057312E+2	1.651308E+2
-150.0  	6       	2.035457E+2	7.490445E-3	-1.19E+2   	-149.99   	1079.07	23.5 	16.3 	1.616098E+2	4.238110E-6 	4.387583E+5	1.069268E+1	-1.099657E+0	2.516611E-5 	2.035457E+2	1.616098E+2
-150.0  	7       	2.072402E+2	6.696758E-3	-1.08E+2   	-149.99   	1081.50	23.5 	16.3 	1.662099E+2	1.529997E-6 	4.287703E+5	8.504901E+0	-1.109673E+0	2.516611E-5 	2.072402E+2	1.662099E+2
-150.0  	8       	2.001934E+2	5.017329E-3	-1.08E+2   	-149.99   	1083.94	23.5 	16.3 	1.563964E+2	9.730524E-7 	4.497300E+5	6.557439E+0	-1.084073E+0	2.081666E-5 	2.001934E+2	1.563964E+2
-150.0  	9       	2.260745E+2	4.147405E-3	-1.13E+2   	-149.99   	1086.38	23.5 	16.3 	1.902655E+2	9.957487E-7 	3.836933E+5	4.509250E+0	-1.161473E+0	1.527525E-5 	2.260745E+2	1.902655E+2
-150.0  	10      	2.248850E+2	4.671589E-3	-1.15E+2   	-149.99   	1088.82	23.5 	16.3 	1.892529E+2	2.294590E-6 	3.857347E+5	5.507571E+0	-1.161403E+0	1.527525E-5 	2.248850E+2	1.892529E+2
-150.0  	11      	2.197808E+2	2.927367E-3	-1.09E+2   	-149.99   	1091.26	23.5 	16.3 	1.830848E+2	6.507738E-7 	3.967063E+5	3.511885E+0	-1.149860E+0	1.000000E-5 	2.197808E+2	1.830848E+2
-150.0  	12      	2.166343E+2	3.069849E-2	-1.09E+2   	-149.99   	1093.69	23.5 	16.3 	1.792339E+2	5.092106E-4 	4.038467E+5	5.404011E+1	-1.142300E+0	1.732051E-5 	2.166343E+2	1.792339E+2
-150.0  	13      	2.096155E+2	2.170015E-2	-1.09E+2   	-149.99   	1095.11	23.5 	16.3 	1.701908E+2	4.096723E-4 	4.213183E+5	4.680100E+1	-1.122220E+0	2.000000E-5 	2.096155E+2	1.701908E+2
-150.0  	14      	1.836855E+2	2.276301E-2	-1.09E+2   	-149.99   	1096.35	23.5 	16.3 	1.348087E+2	3.768826E-4 	5.057010E+5	6.766831E+1	-1.028810E+0	2.000000E-5 	1.836855E+2	1.348087E+2
-150.0  	15      	2.166001E+2	2.900644E-2	-1.09E+2   	-149.99   	1097.75	23.5 	16.3 	1.788014E+2	3.685957E-4 	4.043667E+5	4.878866E+1	-1.139837E+0	2.886751E-5 	2.166001E+2	1.788014E+2
-150.0  	16      	2.241140E+2	2.265070E-2	-1.09E+2   	-149.99   	1099.05	23.5 	16.3 	1.880003E+2	7.216710E-4 	3.876827E+5	4.718404E+1	-1.157727E+0	5.131601E-5 	2.241140E+2	1.880003E+2
-150.0  	17      	2.229095E+2	2.888901E-2	-1.09E+2   	-149.99   	1100.20	23.5 	16.3 	1.869773E+2	5.148609E-4 	3.897907E+5	4.885011E+1	-1.157650E+0	1.732051E-5 	2.229095E+2	1.869773E+2
-150.0  	18      	2.247620E+2	2.356081E-2	-1.09E+2   	-149.99   	1101.61	23.5 	16.3 	1.892533E+2	3.198604E-4 	3.858397E+5	3.842308E+1	-1.162037E+0	1.527525E-5 	2.247620E+2	1.892533E+2
-150.0  	19      	2.229738E+2	2.207210E-2	-1.09E+2   	-149.99   	1103.03	23.5 	16.3 	1.870744E+2	2.605757E-4 	3.896333E+5	3.608786E+1	-1.157913E+0	1.527525E-5 	2.229738E+2	1.870744E+2
-150.0  	20      	2.268481E+2	3.003426E-2	-1.09E+2   	-149.99   	1104.36	23.5 	16.3 	1.917299E+2	7.688803E-4 	3.815730E+5	5.284884E+1	-1.166407E+0	1.527525E-5 	2.268481E+2	1.917299E+2
-150.0  	21      	2.266981E+2	2.937702E-3	-1.06E+2   	-149.99   	1105.67	23.5 	16.3 	1.915595E+2	1.223423E-6 	3.818690E+5	3.464102E+0	-1.166140E+0	1.000000E-5 	2.266981E+2	1.915595E+2
-150.0  	22      	2.168674E+2	2.924047E-2	-1.06E+2   	-149.99   	1108.11	23.5 	16.3 	1.796374E+2	5.618680E-4 	4.031760E+5	5.377732E+1	-1.143587E+0	5.773503E-6 	2.168674E+2	1.796374E+2
-150.0  	23      	2.208216E+2	3.292138E-2	-1.06E+2   	-149.99   	1109.47	23.5 	16.3 	1.844621E+2	8.083845E-4 	3.942900E+5	5.975784E+1	-1.152967E+0	1.154701E-5 	2.208216E+2	1.844621E+2
-150.0  	24      	2.207225E+2	2.042187E-2	-1.06E+2   	-149.99   	1110.80	23.5 	16.3 	1.843476E+2	4.118260E-4 	3.945010E+5	3.994997E+1	-1.152773E+0	2.081666E-5 	2.207225E+2	1.843476E+2
-150.0  	25      	2.180658E+2	2.641041E-2	-1.06E+2   	-149.99   	1112.17	23.5 	16.3 	1.811462E+2	5.676387E-4 	4.003887E+5	5.057997E+1	-1.146733E+0	1.154701E-5 	2.180658E+2	1.811462E+2
-150.0  	26      	2.198686E+2	2.595608E-2	-1.06E+2   	-149.99   	1113.60	23.5 	16.3 	1.833884E+2	4.470018E-4 	3.962987E+5	4.623130E+1	-1.151267E+0	5.773503E-6 	2.198686E+2	1.833884E+2
-150.0  	27      	2.271773E+2	2.444306E-2	-1.06E+2   	-149.99   	1114.87	23.5 	16.3 	1.922156E+2	3.706246E-4 	3.808143E+5	3.955165E+1	-1.167670E+0	1.000000E-5 	2.271773E+2	1.922156E+2
-150.0  	28      	2.212355E+2	3.032196E-2	-1.06E+2   	-149.99   	1116.24	23.5 	16.3 	1.850902E+2	6.389123E-4 	3.932520E+5	5.377732E+1	-1.154690E+0	1.000000E-5 	2.212355E+2	1.850902E+2
-150.0  	29      	2.274510E+2	3.027960E-2	-1.06E+2   	-149.99   	1117.66	23.5 	16.3 	1.925428E+2	6.094285E-4 	3.802617E+5	4.969239E+1	-1.168253E+0	5.773503E-6 	2.274510E+2	1.925428E+2
-150.0  	30      	2.257859E+2	2.409846E-2	-1.06E+2   	-149.99   	1118.94	23.5 	16.3 	1.905399E+2	4.135772E-4 	3.836620E+5	4.095119E+1	-1.164620E+0	0.000000E+0 	2.257859E+2	1.905399E+2
-150.0  	31      	2.253231E+2	2.896107E-3	-1.17E+2   	-149.99   	1120.32	23.5 	16.3 	1.899845E+2	2.455174E-6 	3.846167E+5	4.041452E+0	-1.163613E+0	5.773503E-6 	2.253231E+2	1.899845E+2
-150.0  	32      	2.196010E+2	2.449324E-2	-1.17E+2   	-149.99   	1122.76	23.5 	16.3 	1.830818E+2	4.516751E-4 	3.968720E+5	4.513314E+1	-1.150757E+0	1.154701E-5 	2.196010E+2	1.830818E+2
-150.0  	33      	2.177939E+2	2.626412E-2	-1.17E+2   	-149.99   	1124.16	23.5 	16.3 	1.808729E+2	3.253647E-4 	4.009410E+5	4.417013E+1	-1.146443E+0	2.309401E-5 	2.177939E+2	1.808729E+2
-150.0  	34      	2.285409E+2	2.358964E-2	-1.17E+2   	-149.99   	1125.58	23.5 	16.3 	1.938261E+2	4.389393E-4 	3.780960E+5	3.994997E+1	-1.170447E+0	5.773503E-6 	2.285409E+2	1.938261E+2
-150.0  	35      	2.163888E+2	2.456483E-2	-1.17E+2   	-149.99   	1126.84	23.5 	16.3 	1.791375E+2	3.211202E-4 	4.041843E+5	4.315476E+1	-1.142953E+0	1.527525E-5 	2.163888E+2	1.791375E+2
-150.0  	36      	2.187637E+2	2.959546E-2	-1.17E+2   	-149.99   	1128.22	23.5 	16.3 	1.820971E+2	4.755394E-4 	3.987043E+5	5.084617E+1	-1.149000E+0	1.732051E-5 	2.187637E+2	1.820971E+2
-150.0  	37      	2.227680E+2	2.573202E-2	-1.17E+2   	-149.99   	1129.64	23.5 	16.3 	1.869585E+2	4.663719E-4 	3.899340E+5	4.504442E+1	-1.158260E+0	0.000000E+0 	2.227680E+2	1.869585E+2
-150.0  	38      	2.259834E+2	3.292541E-2	-1.17E+2   	-149.99   	1130.91	23.5 	16.3 	1.908529E+2	7.215768E-4 	3.831797E+5	5.488473E+1	-1.165513E+0	5.773503E-6 	2.259834E+2	1.908529E+2
-150.0  	39      	2.263180E+2	3.214894E-2	-1.17E+2   	-149.99   	1132.29	23.5 	16.3 	1.912793E+2	7.366572E-4 	3.824693E+5	5.428014E+1	-1.166390E+0	1.000000E-5 	2.263180E+2	1.912793E+2
-150.0  	40      	2.273361E+2	2.473511E-2	-1.17E+2   	-149.99   	1133.70	23.5 	16.3 	1.924838E+2	3.126422E-4 	3.804160E+5	3.815757E+1	-1.168487E+0	2.081666E-5 	2.273361E+2	1.924838E+2
-150.0  	41      	2.239955E+2	1.687933E-3	-1.06E+2   	-149.99   	1134.97	23.5 	16.3 	1.884700E+2	9.552203E-7 	3.873017E+5	2.309401E+0	-1.161193E+0	5.773503E-6 	2.239955E+2	1.884700E+2
-150.0  	42      	2.218966E+2	3.054373E-2	-1.06E+2   	-149.99   	1137.56	23.5 	16.3 	1.859376E+2	4.944128E-4 	3.917700E+5	5.038849E+1	-1.156487E+0	2.081666E-5 	2.218966E+2	1.859376E+2
-150.0  	43      	2.213230E+2	3.517429E-2	-1.06E+2   	-149.99   	1138.81	23.5 	16.3 	1.852463E+2	6.119708E-4 	3.930087E+5	5.744853E+1	-1.155197E+0	3.055050E-5 	2.213230E+2	1.852463E+2
-150.0  	44      	2.215358E+2	2.686285E-2	-1.06E+2   	-149.99   	1140.20	23.5 	16.3 	1.854991E+2	6.666441E-4 	3.925520E+5	5.111751E+1	-1.155653E+0	2.081666E-5 	2.215358E+2	1.854991E+2
-150.0  	45      	2.243574E+2	2.660958E-2	-1.06E+2   	-149.99   	1141.64	23.5 	16.3 	1.888897E+2	3.667285E-4 	3.865590E+5	4.250882E+1	-1.161897E+0	2.081666E-5 	2.243574E+2	1.888897E+2
-150.0  	46      	2.259331E+2	3.060405E-2	-1.06E+2   	-149.99   	1142.91	23.5 	16.3 	1.907935E+2	4.657893E-4 	3.832820E+5	4.763402E+1	-1.165410E+0	2.645751E-5 	2.259331E+2	1.907935E+2
-150.0  	47      	2.243413E+2	2.124845E-2	-1.06E+2   	-149.99   	1144.28	23.5 	16.3 	1.888958E+2	3.547457E-4 	3.865667E+5	3.758102E+1	-1.162017E+0	5.773503E-6 	2.243413E+2	1.888958E+2
-150.0  	48      	2.195368E+2	2.574185E-2	-1.06E+2   	-149.99   	1145.63	23.5 	16.3 	1.830925E+2	4.608994E-4 	3.969183E+5	4.654389E+1	-1.151150E+0	0.000000E+0 	2.195368E+2	1.830925E+2
-150.0  	49      	2.263764E+2	2.596957E-2	-1.06E+2   	-149.99   	1147.04	23.5 	16.3 	1.913624E+2	4.598050E-4 	3.823370E+5	4.334743E+1	-1.166597E+0	5.773503E-6 	2.263764E+2	1.913624E+2
-150.0  	50      	2.250439E+2	2.882268E-2	-1.06E+2   	-149.99   	1148.35	23.5 	16.3 	1.897720E+2	6.114363E-4 	3.850707E+5	4.974267E+1	-1.163753E+0	5.773503E-6 	2.250439E+2	1.897720E+2
-150.0  	51      	2.285320E+2	2.376178E-3	-1.10E+2   	-149.99   	1149.70	23.5 	16.3 	1.939721E+2	3.227224E-6 	3.779610E+5	3.605551E+0	-1.171383E+0	5.773503E-6 	2.285320E+2	1.939721E+2
-150.0  	52      	2.291658E+2	2.394751E-2	-1.10E+2   	-149.99   	1152.21	23.5 	16.3 	1.947019E+2	5.570406E-4 	3.767300E+5	4.250882E+1	-1.172553E+0	2.081666E-5 	2.291658E+2	1.947019E+2
-150.0  	53      	2.323335E+2	2.444080E-2	-1.10E+2   	-149.99   	1153.56	23.5 	16.3 	1.984534E+2	3.070525E-4 	3.705997E+5	3.585155E+1	-1.178977E+0	2.081666E-5 	2.323335E+2	1.984534E+2
-150.0  	54      	2.314839E+2	2.435224E-2	-1.10E+2   	-149.99   	1154.85	23.5 	16.3 	1.974319E+2	3.757327E-4 	3.722383E+5	3.784618E+1	-1.177170E+0	1.000000E-5 	2.314839E+2	1.974319E+2
-150.0  	55      	2.296035E+2	2.522686E-2	-1.10E+2   	-149.99   	1156.27	23.5 	16.3 	1.952137E+2	3.289871E-4 	3.758770E+5	3.810512E+1	-1.173407E+0	2.081666E-5 	2.296035E+2	1.952137E+2
-150.0  	56      	2.296836E+2	1.988935E-2	-1.10E+2   	-149.99   	1157.69	23.5 	16.3 	1.953021E+2	2.374655E-4 	3.757263E+5	3.108590E+1	-1.173530E+0	1.000000E-5 	2.296836E+2	1.953021E+2
-150.0  	57      	2.174011E+2	2.725321E-2	-1.10E+2   	-149.99   	1158.93	23.5 	16.3 	1.804989E+2	4.511253E-4 	4.017187E+5	4.880915E+1	-1.146150E+0	1.000000E-5 	2.174011E+2	1.804989E+2
-150.0  	58      	2.203073E+2	2.626508E-2	-1.10E+2   	-149.99   	1160.33	23.5 	16.3 	1.840314E+2	4.813748E-4 	3.952117E+5	4.712041E+1	-1.152960E+0	0.000000E+0 	2.203073E+2	1.840314E+2
-150.0  	59      	2.173410E+2	2.616779E-2	-1.10E+2   	-149.99   	1161.63	23.5 	16.3 	1.804424E+2	4.148342E-4 	4.018370E+5	4.686150E+1	-1.146110E+0	1.000000E-5 	2.173410E+2	1.804424E+2
-150.0  	60      	2.256423E+2	2.708429E-2	-1.10E+2   	-149.99   	1162.78	23.5 	16.3 	1.905082E+2	4.400746E-4 	3.838160E+5	4.417013E+1	-1.165167E+0	1.154701E-5 	2.256423E+2	1.905082E+2
-150.0  	61      	2.148009E+2	8.399759E-4	-1.15E+2   	-149.99   	1164.19	23.5 	16.3 	1.772542E+2	2.607894E-6 	4.078250E+5	2.645751E+0	-1.139457E+0	5.773503E-6 	2.148009E+2	1.772542E+2
-150.0  	62      	1.873376E+2	3.699961E-2	-1.15E+2   	-149.99   	1166.63	23.5 	16.3 	1.407964E+2	6.727998E-4 	4.899840E+5	9.353074E+1	-1.049007E+0	1.154701E-5 	1.873376E+2	1.407964E+2
-150.0  	63      	2.228577E+2	3.249843E-2	-1.15E+2   	-149.99   	1168.05	23.5 	16.3 	1.871869E+2	6.456733E-4 	3.896177E+5	5.485739E+1	-1.159197E+0	1.154701E-5 	2.228577E+2	1.871869E+2
-150.0  	64      	2.262454E+2	3.037041E-2	-1.15E+2   	-149.99   	1169.40	23.5 	16.3 	1.912566E+2	6.335094E-4 	3.825533E+5	5.084617E+1	-1.166627E+0	5.773503E-6 	2.262454E+2	1.912566E+2
-150.0  	65      	2.284966E+2	3.179482E-2	-1.15E+2   	-149.99   	1170.71	23.5 	16.3 	1.939720E+2	7.802884E-4 	3.779903E+5	5.351947E+1	-1.171567E+0	5.773503E-6 	2.284966E+2	1.939720E+2
-150.0  	66      	2.294930E+2	2.416218E-2	-1.15E+2   	-149.99   	1172.12	23.5 	16.2 	1.951422E+2	3.841684E-4 	3.760363E+5	3.868247E+1	-1.173543E+0	5.773503E-6 	2.294930E+2	1.951422E+2
-150.0  	67      	2.313896E+2	2.403693E-2	-1.15E+2   	-149.99   	1173.46	23.5 	16.2 	1.973925E+2	4.204668E-4 	3.723513E+5	3.868247E+1	-1.177420E+0	0.000000E+0 	2.313896E+2	1.973925E+2
-150.0  	68      	2.336872E+2	2.071838E-2	-1.15E+2   	-149.99   	1174.75	23.5 	16.2 	2.000642E+2	3.645448E-4 	3.680340E+5	3.386739E+1	-1.181740E+0	1.000000E-5 	2.336872E+2	2.000642E+2
-150.0  	69      	2.140748E+2	2.914885E-2	-1.15E+2   	-149.99   	1175.97	23.5 	16.2 	1.763907E+2	4.101862E-4 	4.095147E+5	5.139390E+1	-1.137833E+0	2.309401E-5 	2.140748E+2	1.763907E+2
-150.0  	70      	1.911334E+2	3.345734E-2	-1.15E+2   	-149.99   	1177.32	23.5 	16.2 	1.462335E+2	1.062428E-3 	4.759907E+5	9.470656E+1	-1.064800E+0	4.358899E-5 	1.911334E+2	1.462335E+2
-150.0  	71      	2.243529E+2	5.805499E-4	-1.11E+2   	-149.99   	1178.61	23.5 	16.2 	1.890010E+2	2.391905E-7 	3.864490E+5	1.000000E+0	-1.162600E+0	0.000000E+0 	2.243529E+2	1.890010E+2
-150.0  	72      	2.209617E+2	2.203001E-2	-1.11E+2   	-149.99   	1181.05	23.5 	16.2 	1.849363E+2	2.441162E-4 	3.936593E+5	3.625374E+1	-1.155150E+0	1.732051E-5 	2.209617E+2	1.849363E+2
-150.0  	73      	2.213240E+2	2.005790E-2	-1.11E+2   	-149.99   	1182.40	23.5 	16.2 	1.853316E+2	2.977706E-4 	3.929173E+5	3.608786E+1	-1.155713E+0	5.773503E-6 	2.213240E+2	1.853316E+2
-150.0  	74      	2.268925E+2	2.104653E-2	-1.11E+2   	-149.99   	1183.75	23.5 	16.2 	1.920194E+2	3.881393E-4 	3.812480E+5	3.724245E+1	-1.167943E+0	1.154701E-5 	2.268925E+2	1.920194E+2
-150.0  	75      	2.198601E+2	3.169274E-2	-1.11E+2   	-149.99   	1185.11	23.5 	16.2 	1.835572E+2	5.821168E-4 	3.961240E+5	5.458022E+1	-1.152343E+0	1.527525E-5 	2.198601E+2	1.835572E+2
-150.0  	76      	2.219953E+2	3.274376E-2	-1.11E+2   	-149.99   	1186.53	23.5 	16.2 	1.861691E+2	5.844445E-4 	3.914393E+5	5.428014E+1	-1.157397E+0	2.081666E-5 	2.219953E+2	1.861691E+2
-150.0  	77      	2.241192E+2	2.754094E-2	-1.11E+2   	-149.99   	1187.83	23.5 	16.2 	1.887534E+2	4.718501E-4 	3.869040E+5	4.603260E+1	-1.162290E+0	1.000000E-5 	2.241192E+2	1.887534E+2
-150.0  	78      	2.246444E+2	2.360382E-2	-1.11E+2   	-149.99   	1189.20	23.5 	16.2 	1.893796E+2	4.745632E-4 	3.858120E+5	4.246175E+1	-1.163413E+0	1.154701E-5 	2.246444E+2	1.893796E+2
