#Measurement:		CV
#Sensor type:		HPK_8in_198ch_2019
#Needle measurement:	0
#Identifier:		100113_20220701
#Timestamp:		1.7.2022 10:54 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		1000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::24::INSTR
#VISA DMM:		GPIB0::14::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot analysis cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV_analysis.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-199--invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot on matrix cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\geo\switch_matrix.txt" -m "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\maps\Probe_card_HPK_8in_198ch_2019.txt"  --colorpalette 1
#Voltage file:		C:\Users\probe-station\Desktop\Voltage_Files\CV_300um_1to400.txt
#CV correction file:		None
#Comments:		

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time  	#Temp	#Hum.	#Cp        	#Error      	#Impedance 	#Error     	#Phase      	#Error      	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]   	#[C] 	#[%] 	#[pF]      	#[pF]       	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]      	#[pF]      	#[pF]      
-5.0    	14      	2.288275E+2	1.596346E-2	-4.93E+1   	-5.00     	52.48  	23.5 	17.6 	1.949434E+2	9.525087E-5 	3.767747E+5	2.236813E+1	-1.175797E+0	3.055050E-5 	2.288275E+2	1.949434E+2
-5.0    	15      	4.480442E+2	7.851915E-2	-4.93E+1   	-5.00     	53.89  	23.5 	17.6 	4.254418E+2	5.842704E-3 	1.822677E+5	3.234708E+1	-1.344260E+0	1.000000E-5 	4.480442E+2	4.254418E+2
-5.0    	16      	4.569977E+2	7.188186E-2	-4.93E+1   	-5.00     	55.25  	23.5 	17.6 	4.347884E+2	5.409403E-3 	1.785230E+5	2.913760E+1	-1.348520E+0	2.645751E-5 	4.569977E+2	4.347884E+2
-5.0    	17      	4.531042E+2	6.053563E-2	-4.93E+1   	-5.00     	56.54  	23.5 	17.6 	4.340329E+2	4.163638E-3 	1.794443E+5	2.532456E+1	-1.364170E+0	3.605551E-5 	4.531042E+2	4.340329E+2
-5.0    	18      	4.583052E+2	6.913907E-2	-4.93E+1   	-5.00     	57.95  	23.5 	17.6 	4.392871E+2	4.491331E-3 	1.773530E+5	2.690725E+1	-1.365653E+0	5.773503E-6 	4.583052E+2	4.392871E+2
-5.0    	19      	4.548875E+2	5.401872E-2	-4.93E+1   	-5.00     	59.30  	23.5 	17.6 	4.358689E+2	3.189878E-3 	1.787147E+5	2.218859E+1	-1.364870E+0	2.645751E-5 	4.548875E+2	4.358689E+2
-5.0    	20      	4.579403E+2	6.444845E-2	-4.93E+1   	-5.00     	60.59  	23.5 	17.6 	4.389818E+2	4.167260E-3 	1.774853E+5	2.554082E+1	-1.365897E+0	1.527525E-5 	4.579403E+2	4.389818E+2
-5.0    	21      	4.580131E+2	6.828683E-3	-5.72E+1   	-5.00     	61.94  	23.5 	17.6 	4.390521E+2	4.284995E-5 	1.774570E+5	2.645751E+0	-1.365900E+0	0.000000E+0 	4.580131E+2	4.390521E+2
-5.0    	22      	4.463364E+2	1.240219E-2	-5.72E+1   	-5.00     	64.38  	23.5 	17.6 	4.271102E+2	2.045548E-4 	1.822590E+5	5.567764E+0	-1.361730E+0	1.732051E-5 	4.463364E+2	4.271102E+2
-5.0    	23      	4.509334E+2	4.972626E-2	-5.72E+1   	-5.00     	65.71  	23.5 	17.6 	4.317708E+2	2.333790E-3 	1.803463E+5	2.003331E+1	-1.363163E+0	5.773503E-6 	4.509334E+2	4.317708E+2
-5.0    	24      	4.508881E+2	4.590069E-2	-5.72E+1   	-5.00     	67.09  	23.5 	17.6 	4.317583E+2	2.353976E-3 	1.803580E+5	1.931321E+1	-1.363333E+0	2.516611E-5 	4.508881E+2	4.317583E+2
-5.0    	25      	4.478425E+2	7.109915E-2	-5.72E+1   	-5.00     	68.53  	23.5 	17.6 	4.286761E+2	5.416185E-3 	1.816197E+5	3.000556E+1	-1.362417E+0	3.055050E-5 	4.478425E+2	4.286761E+2
-5.0    	26      	4.501012E+2	6.213119E-2	-5.72E+1   	-5.00     	69.76  	23.5 	17.6 	4.310302E+2	4.491896E-3 	1.806680E+5	2.651415E+1	-1.363473E+0	4.163332E-5 	4.501012E+2	4.310302E+2
-5.0    	27      	4.585154E+2	2.980021E-2	-5.72E+1   	-5.00     	71.17  	23.5 	17.6 	4.396127E+2	9.369173E-4 	1.772467E+5	1.193035E+1	-1.366333E+0	1.154701E-5 	4.585154E+2	4.396127E+2
-5.0    	28      	4.529442E+2	2.573470E-2	-5.72E+1   	-5.00     	72.52  	23.5 	17.6 	4.339299E+2	7.073890E-4 	1.794973E+5	1.059874E+1	-1.364447E+0	1.154701E-5 	4.529442E+2	4.339299E+2
-5.0    	29      	4.678367E+2	6.532243E-2	-5.72E+1   	-5.00     	73.83  	23.5 	17.5 	4.490605E+2	4.666109E-3 	1.736163E+5	2.532456E+1	-1.369097E+0	3.055050E-5 	4.678367E+2	4.490605E+2
-5.0    	30      	4.571359E+2	6.307947E-2	-5.72E+1   	-5.00     	75.23  	23.5 	17.5 	4.381547E+2	4.491469E-3 	1.778090E+5	2.586503E+1	-1.365590E+0	3.605551E-5 	4.571359E+2	4.381547E+2
-5.0    	31      	4.564323E+2	6.449604E-3	-5.54E+1   	-5.00     	76.59  	23.5 	17.5 	4.374038E+2	3.820133E-5 	1.780987E+5	2.516611E+0	-1.365170E+0	0.000000E+0 	4.564323E+2	4.374038E+2
-5.0    	32      	4.498187E+2	8.621679E-2	-5.54E+1   	-5.00     	79.09  	23.5 	17.5 	4.306792E+2	7.402419E-3 	1.807983E+5	3.538832E+1	-1.363030E+0	2.000000E-5 	4.498187E+2	4.306792E+2
-5.0    	33      	4.484579E+2	6.339278E-2	-5.54E+1   	-5.00     	80.44  	23.5 	17.5 	4.292688E+2	4.547136E-3 	1.813697E+5	2.706166E+1	-1.362437E+0	3.785939E-5 	4.484579E+2	4.292688E+2
-5.0    	34      	4.612531E+2	6.097196E-2	-5.54E+1   	-5.00     	81.73  	23.5 	17.5 	4.423127E+2	4.129411E-3 	1.761797E+5	2.444040E+1	-1.366743E+0	3.214550E-5 	4.612531E+2	4.423127E+2
-5.0    	35      	4.466975E+2	7.377019E-2	-5.54E+1   	-5.00     	83.10  	23.5 	17.5 	4.274605E+2	5.380688E-3 	1.821107E+5	3.066486E+1	-1.361757E+0	1.527525E-5 	4.466975E+2	4.274605E+2
-5.0    	36      	4.490866E+2	8.512146E-3	-5.54E+1   	-5.00     	84.58  	23.5 	17.5 	4.299390E+2	5.061414E-5 	1.811013E+5	3.214550E+0	-1.362813E+0	5.773503E-6 	4.490866E+2	4.299390E+2
-5.0    	37      	4.534746E+2	2.115271E-2	-5.54E+1   	-5.00     	85.81  	23.5 	17.5 	4.344399E+2	3.313410E-4 	1.792870E+5	7.937254E+0	-1.364457E+0	1.154701E-5 	4.534746E+2	4.344399E+2
-5.0    	38      	4.572790E+2	7.011528E-2	-5.54E+1   	-5.00     	87.22  	23.5 	17.5 	4.383545E+2	5.041736E-3 	1.777407E+5	2.802380E+1	-1.365933E+0	2.081666E-5 	4.572790E+2	4.383545E+2
-5.0    	39      	4.664276E+2	5.780398E-2	-5.54E+1   	-5.00     	88.56  	23.5 	17.5 	4.476866E+2	3.280687E-3 	1.741450E+5	2.193171E+1	-1.368980E+0	1.000000E-5 	4.664276E+2	4.476866E+2
-5.0    	40      	4.676583E+2	3.002413E-2	-5.54E+1   	-5.00     	89.86  	23.5 	17.5 	4.489266E+2	8.306812E-4 	1.736753E+5	1.115049E+1	-1.369300E+0	0.000000E+0 	4.676583E+2	4.489266E+2
-5.0    	41      	4.550681E+2	1.029565E-2	-5.80E+1   	-5.00     	91.21  	23.5 	17.5 	4.360928E+2	9.734472E-5 	1.786333E+5	4.041452E+0	-1.365150E+0	0.000000E+0 	4.550681E+2	4.360928E+2
-5.0    	42      	4.524517E+2	7.945807E-2	-5.80E+1   	-5.00     	93.64  	23.5 	17.5 	4.333812E+2	6.382978E-3 	1.797087E+5	3.234708E+1	-1.364023E+0	2.081666E-5 	4.524517E+2	4.333812E+2
-5.0    	43      	4.528901E+2	3.584688E-2	-5.80E+1   	-5.00     	95.07  	23.5 	17.5 	4.337981E+2	1.674436E-3 	1.795353E+5	1.556706E+1	-1.364007E+0	3.785939E-5 	4.528901E+2	4.337981E+2
-5.0    	44      	4.532852E+2	5.550630E-2	-5.80E+1   	-5.00     	96.36  	23.5 	17.5 	4.341984E+2	3.587980E-3 	1.793743E+5	2.335237E+1	-1.364127E+0	3.785939E-5 	4.532852E+2	4.341984E+2
-5.0    	45      	4.561540E+2	9.353466E-2	-5.80E+1   	-5.00     	97.72  	23.5 	17.5 	4.370946E+2	8.865547E-3 	1.782160E+5	3.746999E+1	-1.364937E+0	2.516611E-5 	4.561540E+2	4.370946E+2
-5.0    	46      	4.581259E+2	1.408666E-2	-5.80E+1   	-5.00     	99.14  	23.5 	17.5 	4.391073E+2	2.637210E-4 	1.774240E+5	6.000000E+0	-1.365610E+0	1.732051E-5 	4.581259E+2	4.391073E+2
-5.0    	47      	4.565555E+2	3.152577E-2	-5.80E+1   	-5.00     	100.43 	23.5 	17.5 	4.375560E+2	1.151894E-3 	1.780437E+5	1.305118E+1	-1.365357E+0	2.081666E-5 	4.565555E+2	4.375560E+2
-5.0    	48      	4.509203E+2	2.970220E-2	-5.80E+1   	-5.00     	101.84 	23.5 	17.5 	4.318152E+2	1.036687E-3 	1.803397E+5	1.266228E+1	-1.363477E+0	2.081666E-5 	4.509203E+2	4.318152E+2
-5.0    	49      	4.577785E+2	8.311935E-2	-5.80E+1   	-5.00     	103.20 	23.5 	17.5 	4.388698E+2	6.968300E-3 	1.775393E+5	3.300505E+1	-1.366133E+0	2.081666E-5 	4.577785E+2	4.388698E+2
-5.0    	50      	4.563355E+2	2.824541E-2	-5.80E+1   	-5.00     	104.51 	23.5 	17.5 	4.373754E+2	8.909024E-4 	1.781233E+5	1.159023E+1	-1.365523E+0	1.527525E-5 	4.563355E+2	4.373754E+2
-5.0    	51      	4.691449E+2	2.710238E-3	-5.45E+1   	-5.00     	105.91 	23.5 	17.5 	4.504786E+2	6.772501E-6 	1.731010E+5	1.000000E+0	-1.369980E+0	0.000000E+0 	4.691449E+2	4.504786E+2
-5.0    	52      	4.698056E+2	3.495351E-2	-5.45E+1   	-5.00     	108.34 	23.5 	17.5 	4.510603E+2	1.057423E-3 	1.728677E+5	1.266228E+1	-1.369693E+0	5.773503E-6 	4.698056E+2	4.510603E+2
-5.0    	53      	4.649387E+2	6.802307E-2	-5.45E+1   	-5.00     	109.69 	23.5 	17.5 	4.461332E+2	5.163203E-3 	1.747270E+5	2.685144E+1	-1.368300E+0	3.605551E-5 	4.649387E+2	4.461332E+2
-5.0    	54      	4.637856E+2	7.911679E-2	-5.45E+1   	-5.00     	111.11 	23.5 	17.5 	4.449188E+2	6.035106E-3 	1.751827E+5	3.023795E+1	-1.367710E+0	1.000000E-5 	4.637856E+2	4.449188E+2
-5.0    	55      	4.627878E+2	1.036169E-1	-5.45E+1   	-5.00     	112.42 	23.5 	17.5 	4.439146E+2	1.144637E-2 	1.755697E+5	4.080850E+1	-1.367453E+0	4.163332E-5 	4.627878E+2	4.439146E+2
-5.0    	56      	4.624558E+2	4.688927E-2	-5.45E+1   	-5.00     	113.64 	23.5 	17.5 	4.435357E+2	2.085588E-3 	1.757077E+5	1.795364E+1	-1.367123E+0	5.773503E-6 	4.624558E+2	4.435357E+2
-5.0    	57      	4.476739E+2	6.247755E-2	-5.45E+1   	-5.00     	114.98 	23.5 	17.5 	4.284615E+2	4.531281E-3 	1.816993E+5	2.695057E+1	-1.362123E+0	4.163332E-5 	4.476739E+2	4.284615E+2
-5.0    	58      	4.509053E+2	1.292220E-1	-5.45E+1   	-5.00     	116.28 	23.5 	17.5 	4.317530E+2	1.849585E-2 	1.803557E+5	5.424328E+1	-1.363213E+0	6.806859E-5 	4.509053E+2	4.317530E+2
-5.0    	59      	4.473588E+2	8.557824E-3	-5.45E+1   	-5.00     	117.50 	23.5 	17.5 	4.281442E+2	3.860566E-5 	1.818307E+5	3.055050E+0	-1.362037E+0	1.154701E-5 	4.473588E+2	4.281442E+2
