#Measurement:		IV
#Sensor type:		HPK_8in_198ch_2019
#Needle measurement:	0
#Identifier:		100113_20220701
#Timestamp:		1.7.2022 9:47 
#Voltage delay:		5.0 s
#Switch delay:		0.3 s
#Compliance level:		1000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::24::INSTR
#VISA DMM:		GPIB0::14::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV.pdf" --IV  --select -1000  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx --invertVal -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot analysis cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV_analysis.pdf" --IV  --select -1000  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-199--invertx --invertVal -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot on matrix cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_IV.pdf" --IV  --select -1000  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx --invertVal -g "C:\Users\probe-station\Desktop\MasterHexDAQ\geo\switch_matrix.txt" -m "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\maps\Probe_card_HPK_8in_198ch_2019.txt"  --colorpalette 1
#Voltage file:		C:\Users\probe-station\Desktop\Voltage_Files\IV1to1000default.txt
#CV correction file:		None
#Comments:		

#Voltage	#Channel	#Current    	#Error     	#Tot. curr.	#Act. vlt.	#Time  	#Temp	#Hum.	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#n/a       
#[V]    	#       	#[nA]       	#[nA]      	#[nA]      	#[V]      	#[s]   	#[C] 	#[%] 	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     
-1.0    	14      	-6.404049E-2	6.779610E-5	-5.23E+1   	-1.00     	38.75  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	15      	-2.742561E-1	9.252872E-5	-5.23E+1   	-1.00     	40.16  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	16      	-2.718428E-1	1.337818E-4	-5.23E+1   	-1.00     	41.66  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	17      	-2.677953E-1	9.545199E-5	-5.23E+1   	-1.00     	43.00  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	18      	-2.875277E-1	1.753938E-5	-5.23E+1   	-1.00     	44.33  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	19      	-3.120235E-1	1.154461E-4	-5.23E+1   	-1.00     	45.73  	23.6 	42.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	20      	-2.814830E-1	4.235827E-5	-5.23E+1   	-1.00     	47.08  	23.6 	42.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	21      	-2.701915E-1	6.492537E-5	-5.23E+1   	-1.00     	48.49  	23.6 	42.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	22      	-2.621630E-1	1.915757E-4	-5.23E+1   	-1.00     	51.03  	23.6 	42.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	23      	-2.551975E-1	4.811268E-5	-5.23E+1   	-1.00     	52.45  	23.6 	42.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	24      	-2.505579E-1	7.797034E-5	-5.23E+1   	-1.00     	53.87  	23.6 	41.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	25      	-2.497590E-1	5.806396E-5	-5.23E+1   	-1.00     	55.30  	23.6 	41.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	26      	-2.468605E-1	5.380942E-5	-5.23E+1   	-1.00     	56.63  	23.6 	41.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	27      	-2.499849E-1	1.345412E-4	-5.23E+1   	-1.00     	58.08  	23.6 	41.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	28      	-2.650816E-1	7.491604E-5	-5.23E+1   	-1.00     	59.56  	23.6 	41.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	29      	-3.162032E-1	7.857220E-5	-5.23E+1   	-1.00     	60.98  	23.6 	41.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	30      	-2.760203E-1	1.499742E-4	-5.23E+1   	-1.00     	62.40  	23.6 	41.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	31      	-2.659811E-1	1.028008E-4	-5.23E+1   	-1.00     	63.83  	23.6 	41.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	32      	-2.573425E-1	7.592806E-5	-5.23E+1   	-1.00     	66.26  	23.6 	41.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	33      	-2.490505E-1	9.348692E-5	-5.23E+1   	-1.00     	67.69  	23.6 	41.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	34      	-2.431443E-1	1.416221E-4	-5.23E+1   	-1.00     	69.11  	23.6 	41.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	35      	-2.394076E-1	7.186211E-5	-5.23E+1   	-1.00     	70.53  	23.6 	41.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	36      	-2.375526E-1	8.640268E-5	-5.23E+1   	-1.00     	71.95  	23.6 	41.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	37      	-2.371583E-1	1.555682E-4	-5.23E+1   	-1.00     	73.37  	23.6 	41.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	38      	-2.396041E-1	1.350304E-4	-5.23E+1   	-1.00     	74.72  	23.6 	41.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	39      	-2.672788E-1	1.159028E-4	-5.23E+1   	-1.00     	76.22  	23.6 	41.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	40      	-3.111951E-1	5.531627E-5	-5.23E+1   	-1.00     	77.64  	23.6 	41.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	41      	-2.721802E-1	1.119663E-4	-5.23E+1   	-1.00     	79.06  	23.6 	41.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	42      	-2.695320E-1	4.504809E-5	-5.23E+1   	-1.00     	81.50  	23.6 	41.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	43      	-2.818039E-1	9.858541E-5	-5.23E+1   	-1.00     	82.92  	23.6 	41.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	44      	-2.486032E-1	9.601234E-5	-5.23E+1   	-1.00     	84.34  	23.6 	41.3 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	45      	-2.403148E-1	4.965068E-5	-5.23E+1   	-1.00     	85.76  	23.6 	41.3 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	46      	-2.354967E-1	1.063649E-4	-5.23E+1   	-1.00     	87.19  	23.6 	41.3 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	47      	-2.323387E-1	1.742428E-4	-5.23E+1   	-1.00     	88.53  	23.6 	41.3 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	48      	-2.306335E-1	9.374812E-5	-5.23E+1   	-1.00     	89.95  	23.6 	41.2 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	49      	-2.308985E-1	6.607914E-5	-5.23E+1   	-1.00     	91.25  	23.6 	41.2 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	50      	-2.338728E-1	2.145095E-5	-5.23E+1   	-1.00     	92.67  	23.6 	41.2 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	51      	-2.611068E-1	2.343741E-4	-5.23E+1   	-1.00     	94.09  	23.6 	41.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	52      	-3.137795E-1	4.412214E-5	-5.23E+1   	-1.00     	96.53  	23.6 	41.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	53      	-2.706321E-1	1.349713E-4	-5.23E+1   	-1.00     	97.95  	23.6 	41.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	54      	-2.593731E-1	1.027407E-4	-5.23E+1   	-1.00     	99.37  	23.6 	41.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	55      	-2.862734E-1	1.415764E-4	-5.23E+1   	-1.00     	100.80 	23.6 	41.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	56      	-3.901312E-1	4.505667E-5	-5.23E+1   	-1.00     	102.22 	23.6 	41.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	57      	-2.896695E-1	4.245284E-5	-5.23E+1   	-1.00     	103.64 	23.6 	41.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	58      	-2.362028E-1	1.825889E-4	-5.23E+1   	-1.00     	105.06 	23.6 	41.0 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	59      	-2.312015E-1	8.704575E-5	-5.23E+1   	-1.00     	106.48 	23.6 	40.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	60      	-2.276785E-1	5.578103E-5	-5.23E+1   	-1.00     	107.91 	23.6 	40.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	61      	-1.843756E-1	9.826344E-5	-5.23E+1   	-1.00     	109.33 	23.6 	40.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	62      	-5.477449E-2	7.325930E-5	-5.23E+1   	-1.00     	111.76 	23.6 	40.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	63      	-2.267600E-1	1.120407E-4	-5.23E+1   	-1.00     	113.19 	23.6 	40.9 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	64      	-2.309735E-1	1.101606E-4	-5.23E+1   	-1.00     	114.61 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	65      	-2.615836E-1	3.900889E-5	-5.23E+1   	-1.00     	116.03 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	66      	-3.104884E-1	3.520019E-5	-5.23E+1   	-1.00     	117.46 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	67      	-2.736995E-1	4.768522E-5	-5.23E+1   	-1.00     	118.80 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	68      	-2.570080E-1	1.021532E-4	-5.23E+1   	-1.00     	120.22 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	69      	-2.035512E-1	1.869900E-4	-5.23E+1   	-1.00     	121.52 	23.6 	40.8 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	70      	-6.016625E-2	5.675079E-5	-5.23E+1   	-1.00     	122.94 	23.6 	40.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	71      	-6.283274E-1	5.661351E-5	-5.23E+1   	-1.00     	124.36 	23.6 	40.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	72      	-1.171382E+0	1.059575E-4	-5.23E+1   	-1.00     	126.80 	23.6 	40.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	73      	-5.196149E-1	1.033561E-4	-5.23E+1   	-1.00     	128.13 	23.6 	40.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	74      	-2.307890E-1	8.320699E-5	-5.23E+1   	-1.00     	129.44 	23.6 	40.7 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	75      	-2.274103E-1	8.834689E-5	-5.23E+1   	-1.00     	130.74 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	76      	-2.239178E-1	4.671556E-5	-5.23E+1   	-1.00     	132.08 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	77      	-2.224971E-1	1.813959E-4	-5.23E+1   	-1.00     	133.38 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	78      	-2.246063E-1	4.932788E-5	-5.23E+1   	-1.00     	134.72 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	79      	-2.300185E-1	3.052851E-5	-5.23E+1   	-1.00     	136.06 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	80      	-2.601416E-1	1.404120E-4	-5.23E+1   	-1.00     	137.40 	23.6 	40.6 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	81      	-3.320934E-1	1.002825E-4	-5.23E+1   	-1.00     	138.80 	23.6 	40.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	82      	-2.741848E-1	5.310803E-5	-5.23E+1   	-1.00     	141.23 	23.6 	40.5 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
