,,,,,,,,,HPK full probe card,,,,,,,,,"HPK full probe card (Remeasured, presumably)",,,,,,,HPK full probe card (without calibration cells),,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,HD or LD?,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,Ncell with I600 > 100nA,Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,More than 8 bad cells: requirem. 1) and 2),More than two neighbour cells bad: requirem. 1) and 2),,,Sensor ID,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,Ncell with I600 > 100nA,,Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,, Ncell with I600 > 100nA,,Ncell with I800 > 2.5 * I600 and I600>10nA threshold || I800>25nA and I600<10nA,More than 8 bad cells: requirem. 1) and 2),More than two neighbour cells bad: requirem. 1) and 2)
N4790_7,200075,200,com,B,-2,STD,FZ,LD,Passed,Passed,1,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_8,200076,200,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_9,200077,200,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_10,200078,200,com,B,-2,STD,FZ,LD,Passed,Passed,1,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_11,200079,200,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_12,200080,200,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_6,200092,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_7,200093,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_8,200094,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_9,200095,200,com,C,-2,STD,FZ,LD,Passed,Failed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_10,200096,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_11,200097,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_12,200098,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_13,200099,200,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_18,200104,200,ind,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_19,200105,200,ind,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_20,200106,200,ind,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_21,200107,200,ind,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_22,200108,200,ind,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_23,200109,200,ind,C,-2,STD,FZ,LD,Passed,Passed,1,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4792_24,200110,200,ind,C,-2,STD,FZ,LD,Passed,Passed,1,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_19,200081,200,com,D,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_20,200082,200,com,D,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_21,200083,200,com,D,-2,STD,FZ,LD,Passed,Passed,1,1,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_22,200084,200,com,D,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_23,200085,200,com,D,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_24,200086,200,com,D,-2,STD,FZ,LD,Passed,Passed,1,1,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_25,200087,200,com,D,-2,STD,FZ,LD,Passed,Passed,3,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4788_2,300001,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_3,300002,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_4,300003,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_5,300004,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_6,300005,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_7,300006,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4788_8,300007,120,com,B,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4789_10,300032,120,com,C,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
N4789_12,300034,120,com,C,-2,STD,epi,HD,,,,,,,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed
