,,,,,,,,,HPK full probe card,,,,,,,CMS full probe card,,,,,,,,Acceptance,,,,,CMS full probe card remeasurement,,,,,,,,CMS full probe card,,,,
Delivery date (leaving HPK JP),Sensor ID,OBA Number,Current location sensor,EDH no. (sensors),Current location half moons,EDH no. (half-moons),Status,,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,1) Ncell with I600 > 100nA,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,Measurement performed at ,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,1) Ncell with I600 > 100nA,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,Accept and pay this sensor?,Delivery date (leaving HPK CH),Deadline for accep- tance report (+130 days),Acceptance communicated to HPK,,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,1) Ncell with I600 > 100nA,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 / X μm,,
27/02/2023,100383,OBA46983,CERN,,HEPHY,,4.00E+15,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 245.3V < 370 V,Passed: 0.2%,Passed: 0.5%,,
27/02/2023,100384,OBA46983,CERN,,HEPHY,,4.00E+15,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 247.4V < 370 V,Passed: 0.2%,Passed: 0.5%,,
27/02/2023,100385,OBA46983,CERN,,HEPHY,,Broken,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 244.9V < 370 V,Passed: 0.6%,Passed: 0.4%,,
27/02/2023,100386,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 246.0V < 370 V,Passed: 0.1%,Passed: 0.3%,,
27/02/2023,100387,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 250.0V < 370 V,Passed: 0.3%,Passed: 0.5%,,
27/02/2023,100388,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 248.0V < 370 V,Passed: 0.2%,Passed: 0.5%,,
27/02/2023,100389,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 247.5V < 370 V,Passed: 0.2%,Passed: 0.4%,,
27/02/2023,100390,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 250.5V < 370 V,Passed: 0.1%,Passed: 0.6%,,
27/02/2023,100391,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,Passed: 252.6V < 370 V,Passed: 0.3%,Passed: 0.6%,,
27/02/2023,100392,OBA46983,CERN,,HEPHY,,,,Passed,Passed,0,0,Passed,Passed,,CERN,Passed,Passed,0,0,Passed,Passed,,Yes,03/03/2023,11/07/2023,Yes,,,,,,,,,,,,,,
